bank,year,bank_type,npl,roe,roa,total_assets,size,fintech_total,char_count,fai,fai_norm
工商银行,2023,state_owned,1.36,11.36,0.8,428265,12.9675,132,287227,4.5957,0.2614
工商银行,2024,state_owned,1.35,10.4,0.73,461286,13.0418,136,268016,5.0743,0.5334
工商银行,2025,state_owned,1.25,9.96,0.7,491000,13.1042,142,262856,5.4022,0.7197
建设银行,2023,state_owned,1.37,11.53,0.86,365261,12.8084,160,329346,4.8581,0.4105
建设银行,2024,state_owned,1.35,10.95,0.81,396810,12.8912,103,281044,3.6649,-0.2676
建设银行,2025,state_owned,1.33,10.5,0.78,421000,12.9504,130,280652,4.6321,0.2821
农业银行,2023,state_owned,1.33,11.7,0.75,358059,12.7885,47,275854,1.7038,-1.3822
农业银行,2024,state_owned,1.32,10.65,0.72,395640,12.8883,66,268621,2.457,-0.9541
农业银行,2025,state_owned,1.31,10.2,0.69,422000,12.9528,77,268207,2.8709,-0.7189
中国银行,2023,state_owned,1.28,10.72,0.78,298124,12.6053,105,296998,3.5354,-0.3412
中国银行,2024,state_owned,1.25,10.22,0.75,328419,12.702,119,296070,4.0193,-0.0662
中国银行,2025,state_owned,1.22,9.8,0.72,350000,12.7657,103,280432,3.6729,-0.2631
交通银行,2023,state_owned,1.33,9.92,0.7,145360,11.887,69,247775,2.7848,-0.7678
交通银行,2024,state_owned,1.31,9.41,0.68,160272,11.9846,97,240909,4.0264,-0.0622
交通银行,2025,state_owned,1.28,8.9,0.65,170000,12.0436,107,240764,4.4442,0.1753
邮储银行,2023,state_owned,0.83,12.32,0.65,156508,11.9609,208,284313,7.3159,1.8074
邮储银行,2024,state_owned,0.84,11.35,0.62,172010,12.0553,201,270200,7.4389,1.8773
邮储银行,2025,state_owned,0.86,10.8,0.6,183000,12.1172,229,276178,8.2918,2.362
平安银行,2023,joint_stock,1.06,11.35,0.69,57254,10.9553,109,202231,5.3899,0.7128
平安银行,2024,joint_stock,1.06,7.4,0.45,61016,11.0189,117,207036,5.6512,0.8613
平安银行,2025,joint_stock,1.1,7.0,0.42,63000,11.0509,111,201979,5.4956,0.7728
光大银行,2023,joint_stock,1.55,9.76,0.65,68815,11.1392,91,220405,4.1288,-0.004
光大银行,2024,joint_stock,1.25,8.68,0.58,72680,11.1938,93,219743,4.2322,0.0548
光大银行,2025,joint_stock,1.21,8.3,0.55,76000,11.2385,96,215483,4.4551,0.1815
民生银行,2023,joint_stock,1.48,5.18,0.42,73987,11.2116,108,278431,3.8789,-0.146
民生银行,2024,joint_stock,1.47,5.18,0.42,77330,11.2558,66,258093,2.5572,-0.8972
民生银行,2025,joint_stock,1.46,4.93,0.4,80000,11.2898,60,244303,2.456,-0.9547
招商银行,2023,joint_stock,0.95,16.22,1.39,110316,11.6111,110,301338,3.6504,-0.2759
招商银行,2024,joint_stock,0.95,14.49,1.3,120226,11.6971,141,306035,4.6073,0.268
招商银行,2025,joint_stock,1.0,13.44,1.25,126000,11.744,132,304068,4.3411,0.1167
兴业银行,2023,joint_stock,1.09,9.5,0.65,102327,11.5359,168,249638,6.7297,1.4742
兴业银行,2024,joint_stock,1.07,9.89,0.68,107820,11.5882,167,261327,6.3905,1.2814
兴业银行,2025,joint_stock,1.05,9.15,0.63,112000,11.6263,198,280238,7.0654,1.665
中信银行,2023,joint_stock,1.18,10.83,0.72,92327,11.4331,100,299078,3.3436,-0.4502
中信银行,2024,joint_stock,1.15,10.48,0.7,99510,11.508,99,296358,3.3406,-0.452
中信银行,2025,joint_stock,1.14,9.9,0.65,104000,11.5521,144,301697,4.773,0.3621
华夏银行,2023,joint_stock,1.69,8.71,0.62,39845,10.5928,98,208264,4.7056,0.3238
华夏银行,2024,joint_stock,1.6,8.2,0.58,41230,10.6269,104,205830,5.0527,0.5211
华夏银行,2025,joint_stock,1.55,8.32,0.56,42500,10.6573,81,208178,3.8909,-0.1392
浦发银行,2023,joint_stock,1.48,5.21,0.4,92063,11.4302,71,299711,2.3689,-1.0042
浦发银行,2024,joint_stock,1.36,6.28,0.48,97580,11.4884,158,333720,4.7345,0.3403
浦发银行,2025,joint_stock,1.3,6.76,0.52,100000,11.5129,134,321793,4.1642,0.0161
浙商银行,2023,joint_stock,1.44,12.54,0.72,30185,10.3151,46,195320,2.3551,-1.0121
浙商银行,2024,joint_stock,1.38,12.45,0.71,36600,10.5078,44,286829,1.534,-1.4787
浙商银行,2025,joint_stock,1.36,12.1,0.69,39000,10.5713,64,194611,3.2886,-0.4815
渤海银行,2023,joint_stock,1.78,2.5,0.2,17327,9.76,16,188286,0.8498,-1.8676
渤海银行,2024,joint_stock,1.76,2.3,0.18,18120,9.8048,16,191776,0.8343,-1.8764
渤海银行,2025,joint_stock,1.66,2.1,0.16,18500,9.8255,25,182800,1.3676,-1.5733
广发银行,2023,joint_stock,1.58,6.4,0.38,35060,10.4648,137,256842,5.334,0.681
广发银行,2024,joint_stock,1.5,6.24,0.36,36840,10.5143,152,226897,6.6991,1.4568
广发银行,2025,joint_stock,1.44,5.51,0.34,37319,10.5273,146,204927,7.1245,1.6986
恒丰银行,2023,joint_stock,1.72,3.73,0.12,14397,9.5748,32,153038,2.091,-1.1622
恒丰银行,2024,joint_stock,1.49,4.1,0.15,14800,9.6024,10,124267,0.8047,-1.8932
恒丰银行,2025,joint_stock,1.35,4.08,0.18,15000,9.6158,49,171367,2.8594,-0.7254
